CODICE ESERCIZIO,tipo,provincia,comune,categoria,tipologia,denominazione,localita,frazione,indirizzo,cap,telefono,cellulare,fax,email,sito,n_camere,n_posti_letto,n_bagni,periodo_apertura,varie_centro_abitato,varie_zona_aereoporto,varie_zona_stazione_ff_ss,varie_in_campagna,varie_sul_mare,varie_sul_lago,varie_sul_fiume,varie_zona_imp_risalita,varie_interesse_storico,varie_villa,varie_castello,accessibile,ascensore,ristorante,ristorante_convenzionato,ristorante_vegetariano,tavola_calda,bar,giochi_bambini,sala_lettura,sala_tv,sala_tv_comune,parco_giardino,animali_domestici,servizio_congressi,servizio_congressi_min,servizio_congressi_max,accettazione_gruppi,accesso_mezzi_pubblici,accesso_mezzi_privati,parcheggio_non_custodito,garage,trasporto_clienti,pulizia_calzature,lavatura_stiratura,baby_sitting,altri_impianti_servizi,custodia_valori_cassaforte,custodia_val_cassetta_sicur,vasca_idromassaggio,doccia_idromassaggio,doccia_sauna,sauna_privata,palestra,impianti_termali,centro_benessere,spiaggia_riservata,discoteca,postazioni_internet,tv_satellitare,aria_condizionata,lingua_inglese,lingua_francese,lingua_spagnola,lingua_tedesca,altre_lingue,tennis,piscina_coperta,piscina_scoperta,golf,equitazione,vela,windsurf,sub,ricarica_bombole_sub,sci_nautico,sci_montano,ormeggio,altri_impianti_sportivi,american_express,carta_si,diners,eurocard_mastercard,jcb,visa,bancomat_pos,cirrus,maestro,altre_carte_credito
497,Alberghi,UDINE,LIGNANO SABBIADORO,4 Stelle ****,Casa principale,PALACE,-,-,"VIA CARINZIA, 13",33054,0431 720900,-,0431 720920,info@palace-hotel.it,http://www.palace-hotel.it,76,153,76,10.V - 22.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,SI,SI,NO,NO,NO,SI,NO,SI,SI,NO,NO,SI,NO,0,0,SI,NO,SI,SI,NO,NO,SI,SI,SI,WI-FI,NO,SI,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,NO,SI,-,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,BICICLETTE,NO,SI,NO,SI,SI,SI,SI,SI,SI,-
498,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,SIMI LAN MEUBLE',SABBIADORO,-,"VIA PORDENONE, 15",33054,0431 720789,338 7497255,0431 71138,info@hotelsimilan.it,http://www.hotelsimilan.it,29,52,29,25.IV - 15.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,0,0,SI,SI,SI,SI,NO,NO,NO,NO,NO,"INTERNET, BIGLIETTI AUTOBUS CITTADINI",SI,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BICICLETTE,NO,SI,NO,SI,NO,SI,SI,NO,NO,-
500,Alberghi,UDINE,LIGNANO SABBIADORO,2 Stelle **,Casa principale,CIAO MEUBLE',SABBIADORO,-,"VIA CARINZIA, 1/C",33054,0431 71577,3356884930,0431 73332,info@hotelciao.it,http://www.hotelciao.it,24,48,24,27.IV - 22.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,NO,SI,NO,NO,SI,SI,NO,NO,SI,NO,SI,NO,0,0,SI,SI,SI,SI,NO,SI,NO,NO,NO,-,SI,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BICICLETTE,NO,SI,NO,SI,NO,SI,SI,SI,SI,-
501,Alberghi,UDINE,LIGNANO SABBIADORO,2 Stelle **,Dipendenza,EDEN (DIPENDENZA),PINETA,-,"VIA DELLA TORTORA, 4",33054,0431 422404,335 6388640,0431 422405,info@hoteledenlignano.it,http://www.hoteledenlignano.it,12,28,12,01.V - 14.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,0,0,SI,NO,NO,SI,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,-
502,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,LA BETULLA,PINETA,-,"ARCO DEL LIBECCIO, 24",33054,0431 427675,-,0431 429717,info@hotel-labetulla.it,http://www.hotel-labetulla.it,30,45,30,01.IV - 27.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,0,0,SI,NO,NO,SI,NO,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,SI,NO,SI,SI,NO,SI,-
503,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,ROSA DEI VENTI,PINETA,-,"VIA DEI PINI, 15/17",33054,0431 423782,-,0431 423782,info@albergorosadeiventi.it,http://www.albergorosadeiventi.it,23,44,23,25.IV - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,SI,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,NO,0,0,SI,NO,NO,SI,NO,NO,NO,NO,NO,SERVIZIO BICICLETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,SI,SI,SI,-,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,SI,-
504,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,MYRIAM,SABBIADORO,-,"PIAZZA S.GIOVANNI  BOSCO, 16",33054,0431 71535,-,0431 366490,info@hotelmyriam.com,http://www.hotelmyriam.com,48,90,48,22.IV - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,SI,NO,NO,NO,SI,NO,NO,SI,NO,NO,SI,NO,0,0,SI,SI,NO,NO,NO,NO,NO,NO,NO,SOLARIUM,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,SI,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,biciclette,NO,SI,NO,SI,NO,SI,SI,NO,SI,-
505,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,FLORIDA 2 (DIPENDENZA),SABBIADORO,-,"VIA DEL BOSCO, 13",33054,0431 720101,348 8083564,0431 71222,mail@hotelflorida.net,http://www.hotelflorida.net,22,57,22,01.IV - 20.X,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,Accessibile,SI,SI,NO,NO,NO,SI,SI,SI,SI,SI,NO,SI,SI,0,40,SI,SI,SI,SI,SI,NO,SI,SI,NO,"bagno turco, miniclub",NO,NO,SI,NO,NO,SI,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,NO,SI,-,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,NO,SI,NO,SI,SI,SI,SI,-
506,Alberghi,UDINE,LIGNANO SABBIADORO,4 Stelle ****,Casa principale,SAN CARLO,SABBIADORO,-,"VIA CODROIPO, 16",33054,0431 720855,-,0431 71540,hotel.sancarlo@doimohotels.it,http://www.doimohotels.it,50,122,50,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,SI,SI,NO,SI,NO,SI,NO,SI,SI,NO,NO,SI,SI,80,100,SI,SI,SI,SI,SI,SI,NO,SI,SI,-,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,-,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,SI,SI,SI,SI,SI,-
507,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,REGINA,SABBIADORO,-,"VIA LILIENFELD, 4",33054,0431 724005,-,0431 724006,info@hotelreginalignano.it,http://www.hotelreginalignano.it,33,71,33,01.V - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Con difficoltà,NO,NO,SI,NO,NO,SI,NO,SI,SI,NO,NO,SI,NO,0,0,SI,NO,NO,SI,NO,NO,NO,SI,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,SI,SI,SI,SI,SI,-
508,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,VILLA CANDIA MEUBLE',SABBIADORO,-,"VIALE MIRAMARE, 22",33054,0431 71640,-,0431 721719,info@hotelvillacandia.it,http://www.hotelvillacandia.it,32,61,32,15.V - 15.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,NO,NO,NO,NO,SI,NO,SI,SI,NO,NO,SI,NO,0,0,NO,NO,NO,SI,NO,NO,NO,NO,NO,-,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,SI,SI,SI,NO,SI,-
509,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,NEW YORK,PINETA,-,"VIA DEI PINI, 10",33054,0431 428509 - 427659,329 9632019,0431 429542,info@hotel-newyork.it,http://www.hotel-newyork.it,46,98,46,01.III - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,SI,SI,NO,NO,NO,SI,NO,NO,SI,NO,SI,SI,NO,0,0,SI,SI,SI,SI,NO,NO,NO,SI,SI,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,SI,SI,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,SI,SI,-
510,Alberghi,UDINE,LIGNANO SABBIADORO,1 Stella *,Casa principale,PENSIONE ZEN,SABBIADORO,-,"PARCO S.GIOVANNI BOSCO, 15",33054,0431 71237 - 368 946010,-,0431 71237,,,21,43,21,01.V - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,SI,NO,0,0,SI,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,SI,NO,NO,-
511,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,MEUBLE' ZENITH,PINETA,-,"VIA ARCO DEL LIBECCIO, 32",33054,0431 422343,-,0431 429854,info@meublezenith.it,http://www.meublezenith.it,25,46,25,01.IV - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,SI,NO,0,0,SI,SI,SI,SI,NO,NO,NO,NO,NO,-,NO,SI,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO,SI,SI,SI,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
512,Alberghi,UDINE,LIGNANO SABBIADORO,4 Stelle ****,Casa principale,VITTORIA,SABBIADORO,-,"VIA LUNGOMARE MARIN, 28",33054,0431 71221,-,0431 73292,info@hotel-vittoria.net,http://www.hotel-vittoria.net,61,148,61,01.IV - 30.IX,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,Accessibile,SI,SI,NO,NO,NO,SI,SI,NO,SI,NO,NO,NO,NO,0,0,SI,NO,SI,SI,SI,SI,NO,SI,NO,-,SI,SI,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,NO,SI,-,NO,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,SI,-
513,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,VINA DE MAR,RIVIERA,-,"CORSO DELLE NAZIONI, 48",33054,0431 428666,338 8901301,0431 423735,hotel@vinademar.it,http://www.vinademar.it,54,117,54,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,SI,NO,NO,NO,SI,SI,NO,SI,NO,SI,SI,NO,0,0,SI,SI,SI,SI,NO,NO,NO,NO,NO,-,SI,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,NO,SI,SI,linqua rumena,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,NO,-
514,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,VIENNA,SABBIADORO,-,"VIA CARINZIA, 1",33054,0431 71231,349 1281674,0431 71127,info@hotelvienna.it,http://www.hotelvienna.it,47,90,47,01.V - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,SI,SI,NO,SI,NO,SI,NO,NO,NO,SI,NO,SI,NO,0,0,SI,NO,SI,SI,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,-,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,SI,-
515,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,TRIESTE MARE,SABBIADORO,-,"VIA TIROLO, 13",33054,0431 721165,-,0431/722935,info@hoteltriestelignano.it,http://www.hoteltriestelignano.it,31,56,31,01.IV - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,SI,NO,0,0,SI,NO,SI,SI,NO,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,SI,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,SI,-
516,Alberghi,UDINE,LIGNANO SABBIADORO,2 Stelle **,Casa principale,TIVOLI,SABBIADORO,-,"VIA VICENZA, 32",33054,0431 71855,-,0431 722487,info@hotel-tivoli.it,http://www.hotel-tivoli.it,20,40,20,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,SI,NO,0,0,SI,SI,SI,SI,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,SI,SI,-
517,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,ROMANTIK,SABBIADORO,-,"VIA TRICESIMO, 5",33054,0431 71565,346 4161532,0431 71565 361221,info@hoteltamanaco.it,http://www.hoteltamanaco.it,36,72,36,28.III - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,SI,NO,NO,NO,SI,NO,NO,SI,NO,SI,SI,NO,0,0,SI,NO,NO,SI,NO,NO,NO,NO,NO,SERVIZIO BICICLETTE,SI,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,SI,NO,SI,SI,NO,SI,-
518,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,STIEFEL,SABBIADORO,-,"VIA CODROIPO, 6",33054,0431 720433,320 6530917,0431 720434,info@stiefel.it,http://www.stiefel.it,36,64,36,18.IV - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Con difficoltà,SI,SI,NO,NO,NO,SI,NO,NO,SI,NO,SI,NO,NO,0,0,SI,NO,NO,SI,NO,NO,NO,NO,NO,-,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,SI,SI,NO,SI,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,SI,-
519,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,SORAYA,PINETA,-,"VIALE DELLE PALME, 37",33054,0431 422424,348 3517890,0431 423090,info@hotelsoraya.it,http://www.hotelsoraya.it,59,126,59,28.IV - 29.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,SI,SI,NO,SI,NO,SI,SI,NO,SI,NO,SI,SI,NO,0,0,SI,SI,SI,NO,NO,SI,NO,SI,SI,-,SI,SI,NO,NO,SI,NO,NO,NO,NO,SI,NO,SI,NO,SI,SI,SI,SI,SI,-,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"BICICLETTE, PALESTRA",NO,SI,SI,SI,NO,SI,SI,NO,SI,-
520,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,SMERALDO,RIVIERA,-,"VIALE DELLA MUSICA, 4",33054,0431 428781,-,0431 420866,info@hotelsmeraldo.net,http://www.hotelsmeraldo.net,65,139,65,15.V - 20.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,SI,NO,NO,NO,SI,SI,NO,SI,NO,SI,NO,NO,0,0,SI,NO,SI,SI,NO,NO,NO,NO,NO,INTERNET WI-FI NELLA HALL E TERRAZZA,SI,SI,SI,NO,NO,SI,SI,NO,NO,SI,NO,SI,SI,SI,SI,SI,NO,SI,-,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,"CONVENZIONATO GOLF CLUB LIGNANO, CONVENZIONATO TERME LIGNANO - BICICLETTE",NO,SI,NO,SI,NO,SI,SI,NO,SI,-
522,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,LA FENICE,SABBIADORO,-,"VIA TARVISIO, 6",33054,0431 73456,-,0431 73456,info@fenicequercia.com,http://www.fenicequercia.com,19,30,19,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Con difficoltà,SI,SI,NO,SI,NO,SI,NO,NO,SI,NO,NO,SI,NO,0,0,SI,NO,SI,SI,NO,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,NO,SI,SI,INDONESIANO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,SI,SI,-
523,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,SELENE,SABBIADORO,-,"VIALE ITALIA, 4/A",33054,0431 71251,-,0431 1980133,info@hotelselene.it,http://www.hotelselene.it,35,64,35,01.V - 30.IX,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,Non accessibile,SI,SI,NO,NO,NO,SI,NO,NO,SI,NO,NO,SI,NO,0,0,SI,NO,SI,SI,NO,NO,NO,NO,SI,-,SI,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,SI,-
524,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,SANTA CRUZ,PINETA,-,"ARCO DELLA PARANZA, 4",33054,0431 422101,347 8460073,0431 422102,info@hotelsantacruz.it,http://www.hotelsantacruz.it,52,100,52,01.IV - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,SI,SI,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,NO,0,0,SI,NO,SI,SI,NO,NO,NO,NO,NO,-,SI,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,NO,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,NO,NO,NO,SI,SI,NO,SI,-
525,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,SAVOIA,PINETA,-,"PIAZZA DEL  SOLE, 76",33054,0431 422214,334 1737563,0431 420663,info@hotelsavoia.it,http://www.hotelsavoia.info,18,36,18,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,NO,SI,NO,NO,SI,NO,SI,SI,NO,NO,SI,NO,0,0,SI,SI,SI,SI,NO,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BICICLETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,-
526,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,SAN MARCO,PINETA,-,"RAGGIO DI  LEVANTE, 32/34",33054,0431 422190,-,0431 423592,sanmarco@lignano.it,http://www.sanmarco.lignano.it,42,76,42,25.IV - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,SI,NO,NO,NO,SI,SI,NO,SI,NO,SI,SI,NO,0,0,SI,SI,SI,SI,NO,SI,NO,NO,NO,-,SI,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,NO,SI,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,SI,NO,SI,SI,SI,SI,-
527,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,SAN GIORGIO,PINETA,-,"ARCO DEL LIBECCIO, 44/46",33054,0431 422119,329 9632019,0431 422119/429542,info@sangiorgio-hotel.it,http://www.sangiorgio-hotel.it,19,41,19,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Con difficoltà,SI,SI,NO,NO,NO,SI,SI,NO,SI,NO,SI,SI,NO,0,0,SI,SI,SI,SI,NO,NO,NO,SI,SI,-,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,SI,SI,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,SI,-
528,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,SAN FRANCISCO,PINETA,-,"VIALE DELLE  PALME, 40",33054,0431 422234,347 2789230,0431 420926,info@hotelsanfrancisco.it,http://www.hotelsanfrancisco.it,36,70,36,01.IV - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,SI,NO,NO,NO,SI,SI,SI,SI,NO,SI,NO,NO,0,0,SI,NO,SI,SI,NO,NO,NO,NO,NO,-,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,SI,SI,SI,NO,SI,-,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,SI,-
529,Alberghi,UDINE,LIGNANO SABBIADORO,4 Stelle ****,Casa principale,SALUS,SABBIADORO,-,"VIA TIROLO, 11",33054,0431 720082,329 4781230,0431 71236,info@hotelsalus.it,http://www.hotelsalus.it,44,80,44,01.V - 30.IX,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,Accessibile,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,SI,NO,0,0,SI,SI,SI,SI,NO,SI,NO,SI,NO,-,SI,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,ceco russo,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,acqua e vino incluso ai pasti,NO,SI,NO,SI,NO,SI,SI,NO,SI,-
530,Alberghi,UDINE,LIGNANO SABBIADORO,2 Stelle **,Casa principale,RIO MEUBLE',SABBIADORO,-,"VIALE FRIULI, 17-19",33054,0431 71280,-,0431 71637,info@hotelriolignano.com,http://www.hotelriolignano.com,29,59,29,01.V - 30.IX,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,Non accessibile,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,NO,0,0,SI,NO,NO,SI,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,NO,-
531,Alberghi,UDINE,LIGNANO SABBIADORO,2 Stelle **,Casa principale,ROSAPINETA,PINETA,-,"ARCO DEL LIBECCIO, 33",33054,0431 422383,-,0431 422569,info@hotelrosapineta.com,http://www.hotelrosapineta.com,27,54,27,01.V - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,SI,NO,NO,NO,SI,NO,NO,SI,NO,SI,SI,NO,0,0,SI,SI,SI,SI,NO,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,SI,SI,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,SI,-
532,Alberghi,UDINE,LIGNANO SABBIADORO,4 Stelle ****,Casa principale,PUNTA DELL'EST,SABBIADORO,-,"VIA TIMAVO, 38",33054,0431 71990,-,0431 720290,puntadellest@gphotels.it,http://www.gphotels.it,39,78,39,20.IV - 22.IX,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,Non accessibile,SI,SI,NO,NO,NO,SI,NO,SI,NO,NO,NO,SI,NO,0,0,NO,NO,SI,SI,SI,SI,SI,SI,SI,-,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,NO,SI,-,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,NO,-
534,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,PELIKAN,SABBIADORO,-,"VIA LUNGOMARE TRIESTE, 10",33054,0431 71670,-,0431 720775,info@hotelpelikan.it,http://www.hotelpelikan.it,35,75,35,01.V - 25.IX,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,Con difficoltà,SI,SI,NO,NO,NO,SI,NO,SI,SI,NO,NO,SI,NO,0,0,SI,NO,SI,NO,NO,NO,NO,NO,NO,-,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
